40 157.688049 192.168.1.9 1134 64.236.44.53 80 1952 11 6 2656 6 2 4608 17 158.941574 1.253525 S2X0G0 -682572 -2008807639
41 199.062622 192.168.1.9 1135 64.236.16.52 80 875 42 39 61779 49 4 62654 91 203.278641 4.216019 S2X0G0 -723407 -1524541958
42 200.565826 192.168.1.9 1136 64.236.16.139 80 1460 14 10 8629 14 5 10089 28 205.470016 4.904190 S2X0G0 -724906 -1531439611
43 200.651047 192.168.1.9 1137 64.236.16.139 80 2137 24 18 19929 20 3 22066 44 205.559174 4.908127 S2X0G0 -724991 -1514097904
44 201.690018 192.168.1.9 1138 64.236.16.52 80 204 22 21 31381 24 2 31585 46 202.622574 0.932556 S2X0G0 -726030 -1532552575
45 204.520889 192.168.1.9 1139 64.236.16.139 80 726 7 5 3718 7 3 4444 14 205.457611 0.936722 S2X0G0 -728858 -1513701090
46 222.116531 192.168.1.9 1140 64.236.16.52 80 499 66 63 87752 71 4 88251 137 234.042343 11.925812 S2X0G0 -746213 -1526015982
47 223.616501 192.168.1.9 1141 64.236.44.53 80 5287 37 24 23831 26 2 29118 63 243.031723 19.415222 S2X0G0 -747710 638331111
48 223.704727 192.168.1.9 1142 64.236.44.53 80 4756 32 20 22018 23 2 26774 55 243.130859 19.426132 S2X0G0 -747798 -142866538
49 225.941406 192.168.1.9 1143 64.236.16.139 80 3649 43 33 35908 32 2 39557 75 237.892670 11.951263 S2X0G0 -750035 -1858653147
50 226.116486 192.168.1.9 1144 64.236.16.139 80 3592 37 27 27874 30 7 31466 67 237.834076 11.717590 S2X0G0 -750210 -1552452461
51 228.858261 192.168.1.9 1145 64.236.16.139 80 1012 25 22 22131 20 3 23143 45 243.334534 14.476273 S2X0G0 -752952 -1546022522
52 229.286423 192.168.1.9 1146 64.236.44.53 80 1617 16 12 12364 14 2 13981 30 242.653107 13.366684 S2X0G0 -753381 -1250077191
53 238.710220 192.168.1.9 1147 64.236.16.52 80 1370 11 8 9133 12 4 10503 23 239.782013 1.071793 S2X0G0 -762743 -1559484018
54 252.552094 192.168.1.9 1148 216.40.34.65 80 751 22 19 30063 24 3 30814 46 253.013397 0.461304 S2F1G0 -776501 27740
55 253.200974 192.168.1.9 1149 216.40.32.31 80 348 4 3 183 4 3 531 8 253.385666 0.184692 S2F1G0 -777150 227
56 253.208878 192.168.1.9 1150 216.40.34.65 80 433 4 3 101 4 3 534 8 253.386826 0.177948 S2F1G0 -777157 145
57 253.615952 192.168.1.9 1151 216.40.34.65 80 433 4 3 99 4 3 532 8 253.732788 0.116837 S2F1G0 -777565 143
58 253.757538 192.168.1.9 1152 216.40.34.65 80 438 4 3 101 4 3 539 8 253.922516 0.164978 S2F1G0 -777706 145
59 254.095261 192.168.1.9 1153 216.40.34.65 80 347 4 3 1056 4 3 1403 8 254.244812 0.149551 S2F1G0 -778044 1100
60 254.184708 192.168.1.9 1154 216.40.34.65 80 433 4 3 99 4 3 532 8 254.300766 0.116058 S2F1G0 -778133 143
61 262.489227 192.168.1.9 1155 216.40.34.65 80 361 4 3 574 4 3 935 8 262.595428 0.106201 S2F1G0 -786385 618
62 262.611237 192.168.1.9 1156 216.40.32.46 80 229 17 16 17992 15 2 18221 32 262.953918 0.342682 S2F1G0 -786504 17520
63 263.182617 192.168.1.9 1157 216.40.32.140 80 412 4 3 225 4 3 637 8 263.444366 0.261749 S2F1G0 -787071 269
64 263.190643 192.168.1.9 1158 216.40.32.46 80 434 4 3 145 4 3 579 8 263.420135 0.229492 S2F1G0 -787079 189
65 263.487213 192.168.1.9 1159 216.40.32.30 80 282 10 9 11128 10 2 11410 20 264.026245 0.539032 S2F1G0 -787376 8760
66 264.355164 192.168.1.9 1160 216.40.32.46 80 419 5 4 144 4 3 563 9 264.635315 0.280151 S2F1G0 -788244 188
67 264.578827 192.168.1.9 1161 216.40.32.46 80 416 5 4 143 4 3 559 9 264.763977 0.185150 S3F1G0 -788468 187
68 265.045624 192.168.1.9 1162 216.40.32.46 80 428 4 3 143 4 3 571 8 265.177612 0.131989 S2F1G0 -788935 187
69 265.395325 192.168.1.9 1163 216.40.32.46 80 428 4 3 143 4 3 571 8 265.539307 0.143982 S2F1G0 -789285 187
